PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,21.14,25.56,28.84,33.03,36.01,29.76,27.22,26.38,26.15,25,22.07,21.48,26.89
T2M,2018,21.43,25.23,29.72,33.36,36.05,29.9,25.86,25.27,25.18,25.65,24.54,20.14,26.86
T2M,2019,19.9,24.1,28.5,33.74,35.06,33.51,27.22,25.59,25.5,24.15,21.4,19.26,26.49
T2M,2020,18.9,22.86,27.45,33.11,35.56,28.69,27.23,26.05,26.34,25.04,21.27,19.76,26.02
T2M,2021,22.7,24.26,29.52,32.75,33.33,28.46,27.51,26.38,25.79,24.01,21.56,18.85,26.26
T2M,2022,18.66,22.73,29.88,34.2,35.3,30.53,25.74,25.6,25.67,23.51,20.08,21.01,26.08
RH2M,2017,34,23.5,18.88,15.88,23.75,66.94,76,80.69,82.81,71.81,60.25,37.75,49.5
RH2M,2018,25.62,29.88,22.12,19.44,22.31,65.38,83.38,84.25,78.94,59.44,42.12,37.69,47.62
RH2M,2019,27.25,26.56,20.38,17.56,23.19,47,79.25,86.62,88.75,84.75,82,77.19,55.25
RH2M,2020,66.31,46.38,35.81,23.44,24.62,70.06,81.75,86.94,85.38,80.19,72.06,61.81,61.31
RH2M,2021,43.75,26.81,23.38,20.44,38.56,71.56,78.81,82.5,87.81,79.38,81.25,71.94,59.06
RH2M,2022,64.06,39.44,21.06,16.38,28.38,60.19,87.5,87.5,87,82.56,71.25,67,59.5
PRECTOTCORR,2017,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,10.55,5.27,10.55,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,5.27,5.27,5.27,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,0
PRECTOTCORR,2021,0,0,0.51,0.15,1.1,7,9.97,5.15,11.01,4.25,0.15,0.53,3.33
PRECTOTCORR,2022,0.39,0.02,0.07,0.01,0.19,7.59,15.62,5.68,6.46,3.21,0,0.17,3.31
