PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,21.05,25.44,29.13,33.46,36.53,30.25,27.18,26.21,26.44,25.18,22.05,21.05,27
T2M,2018,21.3,25.01,29.76,33.51,36.55,30.25,25.89,25.39,25.36,26.15,24.83,20.09,27.01
T2M,2019,19.63,23.68,28.74,34.12,35.81,34.44,27.64,25.61,25.5,23.97,21.31,19.02,26.62
T2M,2020,18.46,22.37,27.01,33.09,35.73,28.94,27.48,26.05,26.54,24.91,21.15,19.58,25.94
T2M,2021,22.24,23.96,29.19,32.91,33.56,28.61,27.51,26.33,26.04,24.14,21.48,19.15,26.27
T2M,2022,18.58,22.61,30.24,34.76,35.8,31.28,25.94,25.63,25.82,23.53,20.01,20.82,26.26
RH2M,2017,34.31,23.75,18,14.81,22.69,65.19,77.25,82.88,82.69,71.31,59.69,38.19,49.38
RH2M,2018,24.69,31.19,21.38,19.75,20.38,65.19,84.81,85.25,79.19,58.06,38.5,37.38,47.25
RH2M,2019,28.25,26.69,21.12,17.38,20.56,44.25,78.31,87.94,90.31,84.31,80.62,73.94,54.69
RH2M,2020,64.88,46.38,37.44,23.62,24.81,69.56,81.81,88.31,85.06,79.81,69.62,59.56,60.94
RH2M,2021,41.56,27.06,24.94,19.69,37.5,72.25,80.25,84.12,88.06,78,77.38,65.94,58.25
RH2M,2022,61.62,36.31,20.25,15.25,26.56,57.38,88.31,89.06,87.56,82.19,70.12,64.81,58.44
PRECTOTCORR,2017,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,5.27,10.55,0,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2021,0,0,0.51,0.24,1.22,7.26,8.49,5.25,10.95,3.6,0.26,0.26,3.18
PRECTOTCORR,2022,0.68,0.11,0.03,0,0.25,5.64,17.7,8.46,7.51,2.81,0,0.22,3.65
