PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,21.62,25.77,28.73,32.45,35.4,30.15,27.22,26.59,26.4,25.35,21.88,21.37,26.91
T2M,2018,22.01,25.71,29.91,33.09,35.31,31.4,26.85,26.05,26.18,27.37,24.98,20.4,27.44
T2M,2019,19.8,23.76,28.12,33.44,34.31,33.47,27.41,25.86,25.77,24.41,22.08,19.58,26.5
T2M,2020,18.85,22.99,27.19,33.09,35.39,29.07,27.94,26.33,26.49,25.55,21.84,20.62,26.28
T2M,2021,23.15,24.59,30.05,32.68,33.26,29.55,28.55,27.26,26.3,24.49,22.05,19.67,26.8
T2M,2022,19.55,23.61,30.18,34.08,34.71,31.11,26.21,25.92,26.14,23.8,20.3,21.03,26.39
RH2M,2017,31.69,23.12,19.62,20.5,28.62,66.94,77.69,81.19,83,69.44,58.75,42.25,50.38
RH2M,2018,26.38,24.88,20.75,20.62,27.62,58.94,78.75,80.44,74.25,48.12,38.44,31.88,44.38
RH2M,2019,24.19,26.88,20.88,20.56,29.31,48.38,80.38,86.88,89.38,85.06,81.38,78,56.12
RH2M,2020,65.44,42.75,34.5,23.19,28.5,70.62,80.31,87.12,86.25,78.94,71.38,60.56,60.88
RH2M,2021,44.88,26.19,21.5,23.62,40.75,67.75,72.94,76.88,86.19,77.81,76.38,69.06,57.19
RH2M,2022,55.06,31,21.56,18.69,34.06,57.94,85.81,86.31,86.38,80.81,72.06,67.31,58.31
PRECTOTCORR,2017,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,10.55,10.55,5.27,0,0,5.27
PRECTOTCORR,2020,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,0
PRECTOTCORR,2021,0,0,0.17,0.09,1.18,3.88,5.15,4.4,9.68,2.57,0.49,0.46,2.35
PRECTOTCORR,2022,0.04,0,0.2,0,0,4.94,12.79,6.02,6.67,3.72,0,0.28,2.91
