PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,20.82,24.91,27.78,31.46,33.77,28.38,26.25,25.69,25.18,23.81,20.34,20.17,25.72
T2M,2018,21.1,24.77,28.86,31.89,33.93,29.19,25.54,25.1,24.99,26.02,24.02,19.94,26.28
T2M,2019,19.55,23.45,27.6,32.18,33.03,31.35,26.26,25.18,24.93,23.47,21.05,19.56,25.63
T2M,2020,19.17,23.15,26.7,31.61,33.67,27.24,26.05,24.89,25.12,24.01,20.67,18.98,25.11
T2M,2021,21.64,23.26,28.73,31.4,31.36,27.4,26.61,25.94,24.91,23.15,21.35,18.87,25.39
T2M,2022,18.86,23.02,28.96,32.64,33.21,29.15,25.12,24.87,24.73,22.58,19.26,20.47,25.24
RH2M,2017,32.81,24.62,20.81,19.75,29.44,69.88,76.5,78.19,83.31,72.88,64.88,49.19,52
RH2M,2018,29.19,27.25,22.75,21.38,27.5,63.25,79.19,79.19,74.31,50.12,40.56,34.69,45.88
RH2M,2019,25.5,28,21.12,20.69,28.06,51.69,78.88,83.06,86.38,84.56,81.69,76.88,55.69
RH2M,2020,63.31,41.75,36,25.75,30.62,73.62,82.81,87.81,87.56,83.19,76.75,67.69,63.19
RH2M,2021,57.94,31.88,22.69,24.38,45.38,73.25,77.25,78.06,86.44,80.25,80.88,72.5,61.06
RH2M,2022,60.19,32.5,22.31,19.31,34.88,61.38,84.31,85.06,87.19,82.62,74.19,68.5,59.56
PRECTOTCORR,2017,0,0,0,0,0,5.27,5.27,5.27,10.55,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,10.55,10.55,5.27,10.55,5.27,0,0,5.27
PRECTOTCORR,2021,0.17,0,0.17,0.15,1.33,5.3,5.06,4.41,11.17,3.08,0.26,0.43,2.63
PRECTOTCORR,2022,0.06,0,0.18,0.01,0.06,5.28,8.93,4.89,6.6,4.24,0,0.5,2.58
