PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,20.23,25.19,29.19,34.73,37.39,31.59,27.44,26.79,27.07,25.73,21.83,19.66,27.23
T2M,2018,20.41,24.59,30.05,33.87,37.14,30.35,26.54,26.08,25.84,25.51,23.84,19.54,26.98
T2M,2019,19.08,23.18,29,34.63,37.49,35.58,28.07,26.29,26.01,24.15,21.08,18.17,26.9
T2M,2020,17.98,20.85,26.55,33.22,35.26,29.51,27.75,26.48,27.16,24.85,20.5,19.12,25.77
T2M,2021,21.05,23.53,29.37,33.24,33.85,29.51,27.87,27.05,26.71,24.58,21.87,19.19,26.49
T2M,2022,18.38,21.58,30.19,35.42,36.87,33,26.83,26.37,26.32,23.87,19.73,20.15,26.58
RH2M,2017,47.25,26.81,21,13.69,25.5,61.69,80.88,84.94,83.88,74.69,68.25,52.5,53.62
RH2M,2018,29.94,35.75,22,24.06,26.12,67,85.5,86.44,81.88,66.38,52.25,51,52.44
RH2M,2019,39.44,33.81,27.56,19.94,18.94,42.69,79.38,88.19,91.56,85.19,80.62,77.81,57.25
RH2M,2020,69.56,57.31,50.88,26.88,31.56,70.12,83.06,89.12,84.81,81.25,75.31,63.94,65.38
RH2M,2021,50.62,32.12,25.31,20.19,39.56,71.38,81.5,84.25,86.88,78.31,78.5,66.19,59.75
RH2M,2022,66.06,48.44,23.31,17.94,27,52.62,87.81,89,87.69,82.88,73.75,67.94,60.5
PRECTOTCORR,2017,0,0,0,0,0,5.27,15.82,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2018,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,5.27
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,10.55,15.82,0,0,0,5.27
PRECTOTCORR,2020,0,0,0,0,0,5.27,10.55,15.82,5.27,0,0,0,5.27
PRECTOTCORR,2021,0,0.19,0.34,0.09,1.33,7.33,11.01,5.3,10.82,0.88,0.23,0.6,3.19
PRECTOTCORR,2022,2.11,0.25,0.03,0.01,0.28,4.28,20.62,15.65,9.06,3.04,0,0.13,4.67
