PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,20.89,25.23,28.52,32.76,35.53,29.25,26.87,26.1,25.8,24.62,22.03,21.29,26.58
T2M,2018,21.28,24.98,29.35,33.05,35.59,29.01,25.55,25.08,24.84,25.22,24.32,20.13,26.53
T2M,2019,19.78,24.09,28.45,33.41,34.79,32.76,26.88,25.48,25.32,23.9,21.28,19.65,26.32
T2M,2020,19.55,23.26,27.61,32.79,35.06,28.23,26.63,25.64,25.9,24.56,21.01,19.73,25.83
T2M,2021,22.72,23.98,29.08,32.33,32.74,27.85,26.87,26.09,25.25,23.53,21.34,18.53,25.87
T2M,2022,18.55,22.62,29.43,33.78,34.69,29.9,25.33,25.26,25.19,23.03,19.55,20.66,25.67
RH2M,2017,34.69,24.19,20.06,15.75,24.25,67.12,75.56,79.44,82.38,72.44,59.31,37.62,49.5
RH2M,2018,26.25,29.88,22.62,19.94,22.88,67.38,82.38,82.94,78.81,59.88,43.06,38.94,48
RH2M,2019,28.88,27.25,20.69,17.88,22.88,47.75,77.94,84.56,86.88,84.5,81.31,74.94,54.81
RH2M,2020,63.5,43.75,35.56,24.31,25.62,70.06,82.06,86.19,85.19,81.38,73.12,61,61.06
RH2M,2021,45.56,27.88,23.38,21.56,39.69,72.69,80.12,82.12,87.94,80.75,82.81,73.88,60.06
RH2M,2022,65,40.5,21.75,17.62,29.38,61.12,87.19,87,87.25,83.44,73.69,69.06,60.44
PRECTOTCORR,2017,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,5.27,5.27,10.55,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,5.27,5.27,5.27,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2021,0,0,0.34,0.12,0.91,7.28,10.78,4.69,11.1,3.69,0.12,0.39,3.3
PRECTOTCORR,2022,0.36,0.01,0.05,0.03,0.3,6.83,16.84,4.98,6.49,3.31,0,0.16,3.31
