PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2017,20.83,25.65,29.38,34.24,37.38,30.69,27.81,26.76,26.98,25.72,22.44,20.74,27.39
T2M,2018,21.28,25.22,30.12,34.26,37.52,30.14,26.3,25.83,25.73,25.81,24.55,20.08,27.24
T2M,2019,19.84,24.08,29.46,34.82,36.98,34.92,28.09,26.19,25.93,24.35,21.43,19.03,27.09
T2M,2020,18.97,22.62,27.79,33.66,36.33,29.38,27.77,26.46,26.93,25.08,20.92,19.24,26.26
T2M,2021,22.05,24.09,29.57,33.43,34.28,28.82,27.68,26.82,26.33,24.37,21.62,18.9,26.51
T2M,2022,18.56,22.31,30.42,35.26,36.53,31.63,26.26,26.09,26.12,23.87,19.69,20.43,26.44
RH2M,2017,39.62,24.56,19.38,13.88,22.12,64,75.19,81.06,81.62,72.25,62.06,42.31,50
RH2M,2018,26.12,32.5,22.06,19.88,20.62,67,83.56,84.44,79.88,63.19,46.31,43.69,49.19
RH2M,2019,32.81,27.88,22.5,18.25,18.81,43.69,76.81,85.88,89,84.56,81.31,76.56,55
RH2M,2020,66.94,47.88,39.44,24.56,25,68.62,81.12,87,84.62,80.69,73.38,63.75,62
RH2M,2021,46.81,28.56,24.5,20.69,36.81,72.62,80.69,83.5,87.69,79.44,81.56,70.38,59.62
RH2M,2022,66.44,44.75,21.75,16.5,26.25,57.94,88,88.06,86.94,82.62,74.62,70.31,60.5
PRECTOTCORR,2017,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,0
PRECTOTCORR,2018,0,0,0,0,0,10.55,10.55,5.27,0,0,0,0,0
PRECTOTCORR,2019,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,0
PRECTOTCORR,2020,0,0,0,0,0,5.27,10.55,10.55,5.27,0,0,0,5.27
PRECTOTCORR,2021,0,0,0.51,0.19,1.03,7.8,9.48,5.66,11.43,3.77,0.17,0.35,3.38
PRECTOTCORR,2022,0.92,0.04,0.02,0.02,0.34,6.42,18.86,7.02,6.64,2.71,0,0.14,3.63
