District_ID,Year,Total_Green_Pixels
Ahmednagar,17.tif,719
Ahmednagar,18.tif,644
Ahmednagar,19.tif,461
Ahmednagar,20.tif,709
Ahmednagar,21.tif,632
Ahmednagar,22.tif,818
Akola,17.tif,912
Akola,18.tif,96
Akola,19.tif,44
Akola,20.tif,260
Akola,21.tif,444
Akola,22.tif,159
Amravati,17-1.tif,11651
Amravati,17-2.tif,231
Amravati,18.1.tif,2939
Amravati,18.2.tif,85
Amravati,19.1.tif,940
Amravati,19.2.tif,25
Amravati,20.1.tif,5064
Amravati,20.2.tif,319
Amravati,21.1.tif,3764
Amravati,21.2.tif,289
Amravati,22.1.tif,980
Amravati,22.2.tif,71
Aurangabad,17.tif,243
Aurangabad,18.tif,44
Aurangabad,19.tif,17
Aurangabad,20.tif,208
Aurangabad,21.tif,82
Aurangabad,22.tif,68
Beed,17.tif,342
Beed,18.tif,9
Beed,19.tif,1
Beed,20.tif,72
Beed,21.tif,52
Beed,22.tif,70
Bhandara,17.tif,32532
Bhandara,18.tif,23605
Bhandara,19.tif,20607
Bhandara,20.tif,28522
Bhandara,21.tif,27401
Bhandara,22.tif,27170
Buldhana,17.tif,924
Buldhana,18.tif,192
Buldhana,19.tif,101
Buldhana,20.tif,316
Buldhana,21.tif,322
Buldhana,22.tif,276
Chandrapur,17.tif,42429
Chandrapur,18.tif,30964
Chandrapur,19.tif,24515
Chandrapur,20.tif,37298
Chandrapur,21.tif,35113
Chandrapur,22.tif,38402
Dhule,17.tif,428
Dhule,18.tif,41
Dhule,19.tif,18
Dhule,20.tif,157
Dhule,21.tif,131
Dhule,22.tif,198
Gadchiroli,17.tif,75229
Gadchiroli,18.tif,68552
Gadchiroli,19.tif,66006
Gadchiroli,20.tif,68537
Gadchiroli,21.tif,67682
Gadchiroli,22.tif,68082
Gondia,17.tif,43985
Gondia,18.tif,35137
Gondia,19.tif,32719
Gondia,20.tif,39293
Gondia,21.tif,35824
Gondia,22.tif,38375
Hingoli,17.tif,562
Hingoli,18.tif,27
Hingoli,19.tif,33
Hingoli,20.tif,252
Hingoli,21.tif,171
Hingoli,22.tif,54
Jalgaon,17.tif,1671
Jalgaon,18.tif,324
Jalgaon,19.tif,132
Jalgaon,20.tif,1612
Jalgaon,21.tif,1152
Jalgaon,22.tif,437
Jalna,17.tif,28
Jalna,18.tif,3
Jalna,19.tif,1
Jalna,20.tif,13
Jalna,21.tif,11
Jalna,22.tif,10
Latur,17.tif,181
Latur,18.tif,16
Latur,19.tif,3
Latur,20.tif,23
Latur,21.tif,40
